kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Depok,Jasa,Mikro_Lv1,2100396,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3580201,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,4571647,3,1,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6881548,1,1,0,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,2222320,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,663273,3,1,2,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv2,5546237,1,1,0,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3834817,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,3945498,1,1,0,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2034026,3,2,1,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,1050222,3,1,2,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,4764694,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv2,6854971,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1161614,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1805794,4,2,2,0,0,0,0,0
Moyudan,Agribisnis,Mikro_Lv1,4650276,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4746049,1,1,0,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2783869,3,2,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,2067438,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2578007,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,1130265,2,1,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,2692614,2,1,1,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,2197900,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3193714,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1303692,2,1,1,1,1,0,2,1
Seyegan,Jasa,Mikro_Lv1,4648887,3,2,1,1,1,0,2,1
Cangkringan,Jasa,Mikro_Lv2,6171459,6,4,2,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,744761,3,2,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2832811,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1916012,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2899105,1,1,0,1,1,1,3,1
Godean,Perdagangan,Mikro_Lv1,2824797,4,2,2,1,0,0,1,0
Pakem,Agribisnis,Mikro_Lv1,4306503,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4425282,1,0,1,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,1329735,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3795374,1,0,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2127781,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1607955,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,2861632,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,3717635,1,0,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2207692,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,3192755,3,2,1,0,0,0,0,0
Minggir,Jasa,Mikro_Lv1,4827819,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2551531,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1000315,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv2,7002324,2,1,1,1,0,0,1,0
Tempel,Perdagangan,Mikro_Lv1,2927540,3,1,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2398739,1,1,0,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3249178,3,1,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,2691422,3,2,1,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv2,7412149,6,3,3,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4827858,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,3194287,4,2,2,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv1,4443645,2,1,1,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,4563186,2,1,1,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,4543064,3,1,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,3685714,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv3,19288493,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4741361,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,1992252,4,2,2,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,2437878,3,1,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3766402,4,2,2,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,2056182,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1386040,3,1,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4034550,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4585412,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4251198,2,1,1,1,0,0,1,0
Berbah,Perdagangan,Mikro_Lv1,863476,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv2,7118324,4,2,2,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv2,9422375,3,2,1,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,3851278,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv2,6226952,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,3494200,3,1,2,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,3891418,3,2,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,2990706,4,2,2,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,4881137,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,2102575,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2883366,1,0,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,781570,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3047500,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2341648,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,4637270,3,2,1,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv2,9734963,5,3,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3486249,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,1049239,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1267950,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv2,7850171,6,4,2,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv2,9012595,4,2,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1363561,3,1,2,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv1,4680656,1,1,0,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3541341,1,0,1,0,0,0,0,0
Minggir,Jasa,Mikro_Lv1,2175843,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2962616,2,1,1,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,1574135,4,2,2,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,903119,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1632658,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2866610,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,1384056,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,3720281,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3092670,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,1623994,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,1100530,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4568316,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,4555957,1,1,0,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4076511,3,2,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,3245226,1,0,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1312461,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1886652,3,1,2,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,3365899,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3840216,1,1,0,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4517136,1,1,0,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2974968,1,0,1,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv1,4477019,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,579083,4,2,2,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,3438199,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,888590,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv2,5164053,3,1,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,1846208,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,2549949,1,1,0,0,0,0,0,0
Mlati,Jasa,Mikro_Lv2,9845710,2,1,1,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,4909352,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv2,6308507,6,3,3,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4329049,2,1,1,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4835702,4,2,2,0,0,0,0,0
Minggir,Jasa,Mikro_Lv2,7049927,5,3,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1717060,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2351317,3,1,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv2,7328599,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1891538,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,3560006,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,760116,3,1,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3471981,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,2698611,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4671774,1,1,0,1,0,0,1,0
Berbah,Agribisnis,Mikro_Lv1,3984239,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,2968152,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2820688,1,1,0,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4729011,2,1,1,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,1886980,1,0,1,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,2307610,3,1,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4179126,4,2,2,1,1,0,2,1
Pakem,Jasa,Mikro_Lv1,4146804,1,1,0,1,0,0,1,0
Pakem,Perdagangan,Mikro_Lv1,996758,2,1,1,1,0,0,1,0
Tempel,Perdagangan,Mikro_Lv1,3027576,2,1,1,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,4852360,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,2538540,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3387698,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,3236582,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3860160,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2002025,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1579924,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2575406,3,2,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv2,6999254,3,1,2,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,4117556,1,1,0,1,0,0,1,0
Seyegan,Jasa,Mikro_Lv1,1752078,4,2,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,3903096,2,1,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,2383376,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2487755,4,2,2,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,1021998,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1997618,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3381777,1,0,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,1363663,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3619612,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2498197,1,1,0,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,1624905,4,2,2,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,4810796,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4859879,2,1,1,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,1280641,3,2,1,1,0,0,1,0
Pakem,Perdagangan,Mikro_Lv1,2888278,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3796903,4,2,2,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv2,8659731,4,2,2,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3765696,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,3770209,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4712377,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4398606,1,0,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3304802,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4615362,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,4288963,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1468616,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1464163,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,751537,1,0,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,3947794,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv4,27061774,11,6,5,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,4211584,4,2,2,1,0,0,1,0
Minggir,Perdagangan,Mikro_Lv1,2044613,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,989626,4,2,2,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,3127988,2,1,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,2226676,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv2,6551330,1,1,0,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,2463571,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1928080,1,0,1,0,0,0,0,0
Pakem,Agribisnis,Mikro_Lv1,804224,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3018970,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2661088,3,2,1,1,1,0,2,1
Godean,Agribisnis,Mikro_Lv1,3793331,1,1,0,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv2,7746866,4,2,2,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv1,2513321,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,3116241,3,1,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4518365,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv3,11681076,8,4,4,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,4259505,3,1,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2019603,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,2717181,3,2,1,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,1122893,4,2,2,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,3731185,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4190583,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2943282,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3162761,2,1,1,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,4411146,1,1,0,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3028268,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,4976321,1,1,0,1,1,0,2,1
Tempel,Jasa,Mikro_Lv4,39165372,6,3,3,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1812743,3,1,2,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,1838486,3,2,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,986275,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,1396816,3,1,2,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3787058,4,2,2,1,0,0,1,0
Seyegan,Agribisnis,Mikro_Lv1,3015419,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,811955,4,2,2,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,4290328,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2239461,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1087100,4,2,2,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2747939,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3528149,2,1,1,1,0,0,1,0
Ngemplak,Agribisnis,Mikro_Lv2,6778539,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv2,6998671,6,3,3,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,1158003,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,1956081,4,2,2,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv2,8541483,6,3,3,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,4267255,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4177361,1,0,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,3784321,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,1879904,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,3003292,3,2,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,1324255,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4266484,3,2,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,2768185,1,0,1,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,521253,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3255063,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4963158,1,1,0,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1756715,2,1,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,871616,4,2,2,1,0,0,1,0
Ngemplak,Jasa,Mikro_Lv1,773349,2,1,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4726156,3,1,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv5,75698550,15,8,7,1,1,0,2,1
Minggir,Perdagangan,Mikro_Lv1,4378363,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4388577,3,2,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,690237,2,1,1,1,1,0,2,1
Depok,Perdagangan,Mikro_Lv2,8347769,3,2,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,3031086,3,2,1,1,0,0,1,0
Mlati,Agribisnis,Mikro_Lv1,1653224,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,4520120,3,1,2,1,1,0,2,1
Ngemplak,Perdagangan,Mikro_Lv2,6888806,1,1,0,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv2,9777402,3,2,1,1,1,0,2,1
Godean,Perdagangan,Mikro_Lv1,2881306,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv2,7822136,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1576941,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2909381,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,3511786,1,0,1,1,0,0,1,0
Gamping,Perdagangan,Mikro_Lv2,6416828,6,3,3,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,1075919,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,901067,1,1,0,0,0,0,0,0
