kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Ngaglik,Perdagangan,Mikro_Lv1,4062958,2,1,1,1,1,0,2,1
Ngemplak,Perdagangan,Mikro_Lv1,541252,2,1,1,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,9435,1,0,1,1,0,0,1,0
Moyudan,Perdagangan,Mikro_Lv1,1169748,3,2,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,1641249,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,3543555,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,4730530,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4699303,2,1,1,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,2646791,1,1,0,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,157164,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2640328,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4122263,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3331869,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3225187,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,5425523,3,2,1,1,1,0,2,1
Kalasan,Perdagangan,Mikro_Lv1,197775,1,0,1,0,0,0,0,0
Pakem,Agribisnis,Mikro_Lv4,36426978,9,5,4,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,2534629,3,2,1,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,3462565,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,394540,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,2908873,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,3176083,4,2,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4949499,1,0,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,821052,3,2,1,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,2373139,1,1,0,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1417077,3,2,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,4260507,1,0,1,1,0,0,1,0
Mlati,Agribisnis,Mikro_Lv1,791267,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,1600396,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3080201,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,4071647,3,1,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6881548,1,1,0,1,1,1,3,1
Tempel,Perdagangan,Mikro_Lv1,2332517,3,2,1,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,1087341,1,1,0,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,3181915,3,1,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2658571,1,1,0,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2636694,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv2,9201253,2,1,1,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,1932247,3,2,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv2,8463351,1,1,0,1,1,0,2,1
Berbah,Perdagangan,Mikro_Lv1,661614,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1305794,4,2,2,0,0,0,0,0
Moyudan,Agribisnis,Mikro_Lv1,4150276,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4246049,1,1,0,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2283869,3,2,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,1567438,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2078007,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,630265,2,1,1,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,770173,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,923875,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,572735,2,1,1,0,0,0,0,0
Mlati,Agribisnis,Mikro_Lv2,8107092,6,3,3,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,4148887,3,2,1,1,1,0,2,1
Cangkringan,Jasa,Mikro_Lv2,6171459,6,4,2,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,244761,3,2,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2332811,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1416012,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2399105,1,1,0,1,1,1,3,1
Godean,Perdagangan,Mikro_Lv1,4802116,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv3,11384418,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2155748,2,1,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,1062636,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2562469,1,1,0,0,0,0,0,0
Minggir,Jasa,Mikro_Lv2,7508749,5,3,2,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv2,8956679,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,1932728,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3131209,1,0,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1439758,1,1,0,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,3377778,3,2,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,3124071,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,1908327,2,1,1,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,4390020,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,4935730,1,0,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,4327021,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2427540,3,1,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1898739,1,1,0,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,4856447,3,1,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,2903540,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,1295302,1,1,0,1,0,0,1,0
Godean,Jasa,Mikro_Lv4,32022336,15,8,7,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,3319260,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,2659440,2,1,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,1127199,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4846769,3,2,1,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,4672750,1,0,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,978039,2,1,1,1,0,0,1,0
Minggir,Perdagangan,Mikro_Lv1,1839433,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3526737,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4402294,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,1983851,4,2,2,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,1732465,3,2,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,2245909,3,2,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,1566847,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4767348,2,1,1,1,1,0,2,1
Seyegan,Jasa,Mikro_Lv1,4418441,1,1,0,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,3337920,3,1,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1270896,3,1,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,645188,4,2,2,1,1,0,2,1
Gamping,Perdagangan,Mikro_Lv1,1114593,1,1,0,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,1324070,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,616036,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3297291,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,2202575,2,1,1,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,1564718,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3190541,3,2,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv2,8068893,4,2,2,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,2547500,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1841648,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,4137270,3,2,1,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv2,9734963,5,3,2,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,2986249,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4752525,4,2,2,1,1,1,3,1
Gamping,Jasa,Mikro_Lv3,16503216,2,1,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,910775,3,2,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,431413,1,1,0,1,1,0,2,1
Gamping,Perdagangan,Mikro_Lv2,8743797,1,1,0,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4088657,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,4909384,4,2,2,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,2462616,2,1,1,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,1074135,4,2,2,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,403119,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1132658,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2366610,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,884056,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,3220281,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,2592670,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,1123994,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,600530,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4068316,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,4055957,1,1,0,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,3576511,3,2,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,2745226,1,0,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,812461,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1386652,3,1,2,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,2865899,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3340216,1,1,0,1,0,0,1,0
Minggir,Agribisnis,Mikro_Lv1,344855,4,2,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2442266,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv2,9981262,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3997615,1,0,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,609996,1,0,1,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,3210016,4,2,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,3390926,4,2,2,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv2,9462816,1,1,0,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,50861,2,1,1,1,1,0,2,1
Ngemplak,Agribisnis,Mikro_Lv1,2857733,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,4066621,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3829049,2,1,1,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4335702,4,2,2,0,0,0,0,0
Minggir,Jasa,Mikro_Lv2,7049927,5,3,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1217060,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,1851317,3,1,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv2,7328599,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1391538,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,3060006,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,3042146,2,1,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3959076,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,2198611,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4171774,1,1,0,1,0,0,1,0
Berbah,Agribisnis,Mikro_Lv1,3484239,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,2468152,4,2,2,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,1320567,4,2,2,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv1,1567053,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1386980,1,0,1,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,1807610,3,1,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,3679126,4,2,2,1,1,0,2,1
Pakem,Jasa,Mikro_Lv1,3646804,1,1,0,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,4642929,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,316205,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,4657089,2,1,1,1,0,0,1,0
Cangkringan,Agribisnis,Mikro_Lv1,721384,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,2432593,1,1,0,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1100500,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3360160,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1502025,2,1,1,1,0,0,1,0
Prambanan,Agribisnis,Mikro_Lv1,2380932,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,3358509,2,1,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4156532,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1357133,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv2,8667591,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,754950,3,2,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3021097,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,1455465,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4755976,3,2,1,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,1497618,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2881777,1,0,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,863663,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3119612,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,1998197,1,1,0,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,1124905,4,2,2,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,4571843,1,1,0,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,2090545,3,2,1,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv4,38296848,5,3,2,1,1,0,2,1
Pakem,Perdagangan,Mikro_Lv1,2388278,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3296903,4,2,2,1,1,0,2,1
Gamping,Perdagangan,Mikro_Lv1,1015416,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4205003,2,1,1,1,1,0,2,1
Mlati,Jasa,Mikro_Lv1,3324664,1,1,0,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv2,9809109,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2878117,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4488198,4,2,2,1,1,0,2,1
Minggir,Jasa,Mikro_Lv2,9681993,1,1,0,1,1,0,2,1
Godean,Perdagangan,Mikro_Lv2,9832691,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1065923,1,0,1,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,4746771,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,3447794,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv4,27061774,11,6,5,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,3711584,4,2,2,1,1,0,2,1
Moyudan,Perdagangan,Mikro_Lv1,4629988,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4749766,1,1,0,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,204366,1,1,0,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,3246417,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2607411,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,597218,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,7521279,1,1,0,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2711793,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3889877,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2161088,3,2,1,1,1,0,2,1
Godean,Agribisnis,Mikro_Lv1,3293331,1,1,0,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv2,7746866,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,2518638,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,2616241,3,1,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4018365,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv3,11681076,8,4,4,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,3759505,3,1,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,2504659,1,1,0,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv3,12217181,8,5,3,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,622893,4,2,2,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,3231185,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3690583,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2443282,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2662761,2,1,1,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,3911146,1,1,0,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2528268,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,4476321,1,1,0,1,1,0,2,1
Tempel,Jasa,Mikro_Lv4,39165372,6,3,3,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1312743,3,1,2,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,1338486,3,2,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,486275,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,896816,3,1,2,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3287058,4,2,2,1,0,0,1,0
Seyegan,Agribisnis,Mikro_Lv1,2515419,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,311955,4,2,2,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,4698713,4,2,2,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,2326133,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4002713,3,2,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,4041059,2,1,1,1,0,0,1,0
Turi,Agribisnis,Mikro_Lv1,2747176,2,1,1,1,0,0,1,0
Turi,Agribisnis,Mikro_Lv1,1778539,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv2,6998671,6,3,3,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,658003,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,1456081,4,2,2,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv2,8541483,6,3,3,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,3767255,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3677361,1,0,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,3284321,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,1379904,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2503292,3,2,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,4818750,1,0,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,1578638,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,2639929,4,2,2,1,1,0,2,1
Turi,Jasa,Mikro_Lv1,21253,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2755063,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,2269070,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,824143,3,2,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,775158,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4118893,2,1,1,1,0,0,1,0
Mlati,Jasa,Mikro_Lv3,15755892,6,3,3,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,4990488,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,3878363,1,0,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3888577,3,2,1,1,1,0,2,1
Tempel,Jasa,Mikro_Lv1,4415677,1,0,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,3489429,1,1,0,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,1702159,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2650235,1,1,0,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,627220,3,2,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,2148091,1,1,0,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4670817,4,2,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,2381306,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv2,7822136,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1076941,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2409381,1,1,0,1,1,1,3,1
Berbah,Perdagangan,Mikro_Lv1,1558242,1,0,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv2,6416828,6,3,3,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,575919,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,401067,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,3205599,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv2,8457550,1,1,0,1,1,0,2,1
Depok,Perdagangan,Mikro_Lv1,2770742,3,1,2,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,1034586,3,2,1,1,0,0,1,0
