kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Kalasan,Agribisnis,Mikro_Lv1,4001268,0.7781,3,2,1,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv4,30967106,0.2387,9,4,5,1,0,0,1,1
Berbah,Jasa,Mikro_Lv1,3167867,0.5929,4,2,2,1,0,0,1,1
Ngaglik,Jasa,Mikro_Lv1,2679996,0.4844,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4062737,0.7917,3,1,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,4963418,0.9919,3,2,1,1,1,1,3,1
Gamping,Perdagangan,Mikro_Lv1,2832517,0.5183,3,2,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,4540479,0.8979,2,1,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,2179748,0.3733,2,1,1,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,4248603,0.833,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,6364133,0.2728,1,1,0,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv2,6854971,0.371,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,1161614,0.147,1,1,0,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2450367,0.4334,2,1,1,0,0,0,0,0
Mlati,Agribisnis,Mikro_Lv1,2745131,0.4989,2,1,1,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,3625354,0.6945,3,2,1,1,1,1,3,1
Kalasan,Jasa,Mikro_Lv3,19306167,0.6204,7,3,4,1,0,0,1,0
Moyudan,Perdagangan,Mikro_Lv1,3466422,0.6592,2,1,1,1,1,0,2,1
Depok,Perdagangan,Mikro_Lv1,3262779,0.614,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1423875,0.2053,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1072735,0.1273,2,1,1,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,4881514,0.9737,2,1,1,1,0,1,2,1
Prambanan,Perdagangan,Mikro_Lv1,3552766,0.6784,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,3430098,0.6511,1,1,0,1,1,0,2,1
Prambanan,Jasa,Mikro_Lv1,1364909,0.1922,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,903081,0.0896,4,2,2,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,2690222,0.4867,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6384418,0.2769,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3545179,0.6767,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,3836007,0.7413,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4181262,0.8181,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1607955,0.2462,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,1914397,0.3143,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3948503,0.7663,3,2,1,1,1,0,2,1
Ngaglik,Perdagangan,Mikro_Lv1,3192755,0.5984,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv2,5541656,0.1083,1,0,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1390695,0.1979,3,1,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv2,7002324,0.4005,2,1,1,1,0,0,1,1
Prambanan,Jasa,Mikro_Lv1,818408,0.0708,1,1,0,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4992816,0.9984,4,2,2,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,3864695,0.7477,1,1,0,1,1,0,2,1
Pakem,Jasa,Mikro_Lv1,3852252,0.7449,4,2,2,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,764223,0.0587,2,1,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,3159440,0.591,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,4011049,0.7802,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,3102967,0.5784,3,2,1,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,3194946,0.5989,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4741361,0.9425,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4026737,0.7837,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2205215,0.3789,2,1,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,4761946,0.9471,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,2745909,0.4991,3,2,1,1,0,0,1,1
Ngaglik,Jasa,Mikro_Lv1,3082569,0.5739,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4251198,0.8336,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,863476,0.0808,4,2,2,1,0,0,1,0
Godean,Agribisnis,Mikro_Lv1,1376031,0.1947,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1145188,0.1434,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4447208,0.8772,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3024388,0.561,4,2,2,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,3477590,0.6617,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,4237973,0.8307,4,2,2,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,4313270,0.8474,2,1,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2025233,0.3389,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,1059723,0.1244,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2341648,0.4093,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,1520154,0.2267,3,1,2,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,3303696,0.623,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2629885,0.4733,1,0,1,1,0,0,1,0
Mlati,Agribisnis,Mikro_Lv1,1770464,0.2823,1,1,0,0,0,0,0,0
Pakem,Agribisnis,Mikro_Lv1,1410775,0.2024,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv3,15693075,0.3795,6,3,3,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,4243797,0.832,3,1,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4588657,0.9086,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2221610,0.3826,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,4478702,0.8842,4,2,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,903119,0.0896,1,1,0,1,0,0,1,0
Tempel,Perdagangan,Mikro_Lv1,4822626,0.9606,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1547343,0.2327,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3840420,0.7423,3,2,1,1,1,0,2,1
Turi,Jasa,Mikro_Lv1,3834732,0.7411,1,0,1,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,4463735,0.8808,1,1,0,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4568316,0.9041,2,1,1,1,0,0,1,0
Mlati,Agribisnis,Mikro_Lv1,1097897,0.1329,2,1,1,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,2435740,0.4302,4,2,2,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,1312461,0.1805,2,1,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,3986669,0.7748,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,1910706,0.3135,1,1,0,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,1574961,0.2389,3,2,1,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,2942266,0.5427,2,1,1,1,0,0,1,0
Berbah,Perdagangan,Mikro_Lv1,579083,0.0176,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,3438199,0.6529,4,2,2,1,1,0,2,1
Kalasan,Perdagangan,Mikro_Lv1,3710016,0.7133,4,2,2,1,1,1,3,1
Seyegan,Jasa,Mikro_Lv3,22001871,0.8001,7,4,3,1,1,0,2,1
Godean,Agribisnis,Mikro_Lv1,2447763,0.4328,2,1,1,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,2123911,0.3609,3,1,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv2,6308507,0.2617,6,3,3,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,3203381,0.6008,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4615811,0.9146,1,0,1,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1717060,0.2705,4,2,2,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,2068560,0.3486,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4531419,0.8959,4,2,2,1,1,0,2,1
Kalasan,Perdagangan,Mikro_Lv1,2877074,0.5282,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4714279,0.9365,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,3609244,0.6909,3,2,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3113275,0.5807,2,1,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,3154837,0.59,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,2968152,0.5485,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4515470,0.8923,3,2,1,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,4432441,0.8739,1,1,0,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,2307610,0.4017,3,1,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4179126,0.8176,4,2,2,1,1,1,3,1
Seyegan,Jasa,Mikro_Lv2,5964918,0.193,2,1,1,1,1,0,2,1
Tempel,Jasa,Mikro_Lv1,3027576,0.5617,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3127144,0.5838,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,4199181,0.822,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1600500,0.2446,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3785727,0.7302,1,1,0,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1817191,0.2927,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2215499,0.3812,4,2,2,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,4753486,0.9452,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv2,6357133,0.2714,5,3,2,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1198956,0.1553,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,2030814,0.3402,4,2,2,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4062613,0.7917,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2275767,0.3946,4,2,2,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3058944,0.5687,3,2,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,1363663,0.1919,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,757681,0.0573,3,2,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,1624905,0.25,4,2,2,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv1,4577716,0.9062,4,2,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,1280641,0.1735,3,2,1,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,4680413,0.929,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,1647116,0.2549,3,2,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,3765696,0.7257,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,3770209,0.7267,1,0,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4235466,0.8301,3,2,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,2543037,0.454,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4615362,0.9145,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4374910,0.8611,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,1056110,0.1236,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv2,6756124,0.3512,4,2,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1991633,0.3315,1,1,0,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,637478,0.0306,4,2,2,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,2044613,0.3432,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2046236,0.3436,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2038112,0.3418,1,0,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv2,6551330,0.3103,1,1,0,1,1,1,3,1
Mlati,Jasa,Mikro_Lv1,4315144,0.8478,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv2,9096392,0.8193,1,1,0,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,3018970,0.5598,2,1,1,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv1,2661088,0.4802,3,2,1,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,903082,0.0896,4,2,2,1,0,0,1,0
Moyudan,Perdagangan,Mikro_Lv1,3509887,0.6689,4,2,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,4116984,0.8038,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2181076,0.3736,4,2,2,1,1,0,2,1
Minggir,Jasa,Mikro_Lv1,2019603,0.3377,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv3,12217181,0.1478,8,5,3,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,4395958,0.8658,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,2741281,0.4981,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,2484117,0.4409,3,1,2,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,3013024,0.5584,4,2,2,1,1,0,2,1
Ngemplak,Jasa,Mikro_Lv1,3028268,0.5618,1,1,0,1,1,1,3,1
Sleman,Perdagangan,Mikro_Lv1,3735192,0.7189,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2270485,0.3934,3,1,2,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,4601036,0.9113,4,2,2,1,0,0,1,0
Minggir,Agribisnis,Mikro_Lv1,1657655,0.2573,2,1,1,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,943031,0.0985,1,1,0,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,681360,0.0403,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,811955,0.0693,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv3,14437610,0.2958,2,1,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,4502713,0.8895,3,2,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,2077969,0.3507,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,3712883,0.714,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2909029,0.5353,4,2,2,1,0,0,1,0
Ngemplak,Jasa,Mikro_Lv1,3662801,0.7028,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4041483,0.787,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,4267255,0.8372,1,1,0,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,4823654,0.9608,2,1,1,1,0,0,1,0
Tempel,Agribisnis,Mikro_Lv1,3952501,0.7672,1,1,0,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,3329455,0.6288,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4885010,0.9744,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3401717,0.6448,4,2,2,0,0,0,0,0
Cangkringan,Agribisnis,Mikro_Lv1,3727544,0.7172,4,2,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1450162,0.2111,1,1,0,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,4963158,0.9918,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,3514938,0.67,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,779215,0.062,3,1,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4727995,0.9396,2,1,1,1,0,0,1,0
Ngaglik,Agribisnis,Mikro_Lv1,3475635,0.6613,2,1,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,2496170,0.4436,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,1356047,0.1902,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3989429,0.7754,1,1,0,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4302177,0.8449,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3176517,0.5948,3,1,2,1,1,0,2,1
Pakem,Perdagangan,Mikro_Lv1,2648091,0.4774,1,1,0,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,3299250,0.6221,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,2651061,0.478,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1889330,0.3087,3,2,1,1,0,0,1,0
Gamping,Agribisnis,Mikro_Lv1,3783616,0.7297,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,2914165,0.5365,1,1,0,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1352746,0.1895,4,2,2,1,1,0,2,1
Ngaglik,Agribisnis,Mikro_Lv1,1504001,0.2231,4,2,2,1,1,0,2,1
Turi,Jasa,Mikro_Lv1,4674482,0.9277,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,770914,0.0602,2,1,1,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,4172277,0.8161,1,0,1,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,3872455,0.7494,2,1,1,1,0,0,1,0
Prambanan,Agribisnis,Mikro_Lv1,1869277,0.3043,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,2779176,0.5065,4,2,2,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,3202994,0.6007,3,1,2,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,3845647,0.7435,1,1,0,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,4498422,0.8885,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3485696,0.6635,4,2,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4950252,0.9889,2,1,1,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1184029,0.152,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,3325494,0.6279,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,1173218,0.1496,3,2,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,828821,0.0731,4,2,2,1,1,1,3,1
Sleman,Jasa,Mikro_Lv2,5017297,0.0035,4,2,2,1,1,0,2,1
Godean,Jasa,Mikro_Lv1,1115863,0.1369,4,2,2,1,1,0,2,1
Turi,Jasa,Mikro_Lv1,3533349,0.6741,3,1,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,3799973,0.7333,4,2,2,1,0,0,1,0
Gamping,Perdagangan,Mikro_Lv2,9196656,0.8393,5,3,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4824848,0.9611,1,1,0,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,1371522,0.1937,4,2,2,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4774692,0.9499,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2118963,0.3598,1,1,0,1,0,0,1,0
Berbah,Jasa,Mikro_Lv3,11143647,0.0762,7,4,3,1,1,0,2,1
Prambanan,Jasa,Mikro_Lv1,1972178,0.3272,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,625438,0.0279,1,0,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv2,8769457,0.7539,6,3,3,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3202882,0.6006,4,2,2,1,0,0,1,0
Gamping,Perdagangan,Mikro_Lv2,7531528,0.5063,1,1,0,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,4178621,0.8175,3,1,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv2,8167759,0.6336,2,1,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,2774316,0.5054,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,6863462,0.3727,1,1,0,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,4973014,0.994,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2474324,0.4387,4,2,2,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,2308286,0.4018,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1337393,0.1861,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3438687,0.653,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv2,7188370,0.4377,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2576475,0.4614,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1904355,0.3121,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Kecil,988198447,0.9869,47,27,20,1,1,1,3,1
Tempel,Jasa,Mikro_Lv1,3672382,0.705,2,1,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,1918412,0.3152,1,0,1,0,0,0,0,0
