kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Godean,Perdagangan,Mikro_Lv1,2887312,0.5305,1,1,0,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,3098260,0.5774,2,1,1,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv2,7485195,0.497,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,997562,0.1106,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,622402,0.0272,1,1,0,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,1610389,0.2468,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,3601360,0.6892,1,0,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,4354418,0.8565,1,0,1,1,1,0,2,1
Minggir,Perdagangan,Mikro_Lv1,592193,0.0205,4,2,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,2723069,0.494,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2034026,0.3409,3,2,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2953752,0.5453,2,1,1,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,2056617,0.3459,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,3857519,0.7461,3,2,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2450367,0.4334,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2745131,0.4989,2,1,1,1,1,0,2,1
Godean,Perdagangan,Mikro_Lv1,2783869,0.5075,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1135605,0.1412,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2471206,0.438,3,2,1,1,1,0,2,1
Seyegan,Jasa,Mikro_Lv1,2819049,0.5153,3,1,2,1,1,1,3,1
Tempel,Perdagangan,Mikro_Lv1,967010,0.1038,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1072735,0.1273,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1025893,0.1169,3,2,1,1,0,0,1,1
Ngaglik,Perdagangan,Mikro_Lv1,744761,0.0544,3,2,1,1,0,0,1,1
Minggir,Jasa,Mikro_Lv1,1354016,0.1898,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4257974,0.8351,2,1,1,1,1,0,2,1
Ngaglik,Perdagangan,Mikro_Lv1,4249783,0.8333,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1884418,0.3076,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3545179,0.6767,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,3836007,0.7413,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4181262,0.8181,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1607955,0.2462,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,1914397,0.3143,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3948503,0.7663,3,2,1,1,1,0,2,1
Ngaglik,Perdagangan,Mikro_Lv1,3192755,0.5984,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv2,5541656,0.1083,1,0,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1390695,0.1979,3,1,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv2,7002324,0.4005,2,1,1,1,0,0,1,1
Prambanan,Jasa,Mikro_Lv1,818408,0.0708,1,1,0,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4992816,0.9984,4,2,2,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,3864695,0.7477,1,1,0,1,1,0,2,1
Pakem,Jasa,Mikro_Lv1,3852252,0.7449,4,2,2,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,764223,0.0587,2,1,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,3159440,0.591,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,4011049,0.7802,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,3102967,0.5784,3,2,1,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,3194946,0.5989,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4741361,0.9425,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4026737,0.7837,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,2205215,0.3789,2,1,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,4761946,0.9471,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,2745909,0.4991,3,2,1,1,0,0,1,1
Ngaglik,Jasa,Mikro_Lv1,3082569,0.5739,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4251198,0.8336,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,863476,0.0808,4,2,2,1,0,0,1,0
Godean,Agribisnis,Mikro_Lv1,1376031,0.1947,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1145188,0.1434,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4447208,0.8772,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3024388,0.561,4,2,2,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,3477590,0.6617,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,4237973,0.8307,4,2,2,1,0,0,1,1
Gamping,Perdagangan,Mikro_Lv1,4313270,0.8474,2,1,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2025233,0.3389,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,1059723,0.1244,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2341648,0.4093,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,1520154,0.2267,3,1,2,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,3303696,0.623,1,0,1,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv1,2707148,0.4905,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1267950,0.1707,1,0,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,3096874,0.5771,2,1,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv2,6352564,0.2705,3,2,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,2014542,0.3366,3,2,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3541341,0.6759,1,0,1,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv1,2680712,0.4846,4,2,2,1,0,0,1,1
Tempel,Perdagangan,Mikro_Lv1,826916,0.0726,3,1,2,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4666769,0.9259,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2866610,0.5259,4,2,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,548874,0.0109,1,1,0,1,1,1,3,1
Mlati,Jasa,Mikro_Lv1,942061,0.0982,1,1,0,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,1100530,0.1335,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2156671,0.3681,4,2,2,1,1,0,2,1
Ngemplak,Perdagangan,Mikro_Lv1,4076511,0.7948,3,2,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,3677326,0.7061,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,785555,0.0635,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv2,7981467,0.5963,5,3,2,1,0,0,1,0
Cangkringan,Perdagangan,Mikro_Lv1,1419484,0.2043,3,1,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2974968,0.55,1,0,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3568281,0.6818,3,1,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4497615,0.8884,1,0,1,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,3803389,0.7341,4,2,2,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,2889383,0.531,3,2,1,1,0,0,1,0
Prambanan,Perdagangan,Mikro_Lv1,2278599,0.3952,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2129849,0.3622,2,1,1,1,1,0,2,1
Godean,Perdagangan,Mikro_Lv2,6205663,0.2411,1,1,0,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,657702,0.035,3,2,1,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4835702,0.9635,4,2,2,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,3231638,0.607,1,1,0,1,0,0,1,0
Cangkringan,Perdagangan,Mikro_Lv2,6390281,0.2781,3,2,1,1,1,0,2,1
Berbah,Perdagangan,Mikro_Lv1,2729180,0.4954,4,2,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,3284372,0.6187,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1590805,0.2424,1,0,1,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv2,7971981,0.5944,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,2698611,0.4886,2,1,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,1253315,0.1674,1,0,1,1,0,0,1,1
Mlati,Perdagangan,Mikro_Lv1,1423780,0.2053,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,4515470,0.8923,3,2,1,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,4432441,0.8739,1,1,0,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,2307610,0.4017,3,1,2,1,0,0,1,1
Seyegan,Jasa,Mikro_Lv1,4773445,0.9497,4,2,2,1,1,0,2,1
Moyudan,Perdagangan,Mikro_Lv1,1464918,0.2144,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3027576,0.5617,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3127144,0.5838,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,4199181,0.822,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1600500,0.2446,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3785727,0.7302,1,1,0,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,3361509,0.6359,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2575406,0.4612,3,2,1,1,0,0,1,0
Minggir,Perdagangan,Mikro_Lv1,2201667,0.3781,3,2,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,1248013,0.1662,3,2,1,1,1,0,2,1
Cangkringan,Jasa,Mikro_Lv1,1254950,0.1678,3,2,1,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,655683,0.0346,4,2,2,1,1,0,2,1
Kalasan,Perdagangan,Mikro_Lv1,3829049,0.7398,1,1,0,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,1997618,0.3328,4,2,2,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,1512384,0.225,3,2,1,1,1,0,2,1
Minggir,Jasa,Mikro_Lv1,3619612,0.6932,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv3,20939922,0.7293,5,3,2,1,1,1,3,1
Godean,Jasa,Mikro_Lv1,903322,0.0896,2,1,1,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,2048075,0.344,1,1,0,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,4966134,0.9925,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3996605,0.777,1,1,0,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,810375,0.069,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,3765696,0.7257,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,3770209,0.7267,1,0,1,1,1,0,2,1
Kalasan,Perdagangan,Mikro_Lv1,4235466,0.8301,3,2,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,2543037,0.454,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4615362,0.9145,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4374910,0.8611,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,1056110,0.1236,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv2,6756124,0.3512,4,2,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1991633,0.3315,1,1,0,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,637478,0.0306,4,2,2,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,2044613,0.3432,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2046236,0.3436,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2038112,0.3418,1,0,1,1,0,0,1,1
Pakem,Jasa,Mikro_Lv1,3107411,0.5794,4,2,2,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2485957,0.4413,2,1,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,942939,0.0984,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,1555675,0.2346,3,2,1,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,3968792,0.7708,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1707786,0.2684,2,1,1,0,0,0,0,0
Seyegan,Agribisnis,Mikro_Lv1,2489968,0.4422,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv2,6003171,0.2006,4,2,2,1,1,0,2,1
Prambanan,Jasa,Mikro_Lv1,3793705,0.7319,3,1,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3004659,0.5566,1,1,0,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,2056518,0.3459,1,0,1,1,0,0,1,1
Kalasan,Agribisnis,Mikro_Lv1,951157,0.1003,2,1,1,1,0,0,1,0
Moyudan,Perdagangan,Mikro_Lv1,1728337,0.273,3,2,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,529725,0.0066,3,2,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,3040034,0.5645,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,2149729,0.3666,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,4976321,0.9947,1,1,0,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,2270485,0.3934,3,1,2,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,4601036,0.9113,4,2,2,1,0,0,1,0
Minggir,Agribisnis,Mikro_Lv1,1657655,0.2573,2,1,1,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,943031,0.0985,1,1,0,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,681360,0.0403,3,2,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,811955,0.0693,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv3,14437610,0.2958,2,1,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,4502713,0.8895,3,2,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,2077969,0.3507,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,3712883,0.714,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2909029,0.5353,4,2,2,1,0,0,1,0
Ngemplak,Jasa,Mikro_Lv1,3662801,0.7028,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4041483,0.787,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,4267255,0.8372,1,1,0,1,0,0,1,0
Moyudan,Jasa,Mikro_Lv1,4823654,0.9608,2,1,1,1,0,0,1,0
Tempel,Agribisnis,Mikro_Lv1,3952501,0.7672,1,1,0,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,3329455,0.6288,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4885010,0.9744,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3401717,0.6448,4,2,2,0,0,0,0,0
Cangkringan,Agribisnis,Mikro_Lv1,3727544,0.7172,4,2,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1450162,0.2111,1,1,0,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,4963158,0.9918,1,1,0,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv1,4302986,0.8451,4,2,2,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,3343236,0.6318,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3702209,0.7116,4,2,2,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,788963,0.0642,1,1,0,0,0,0,0,0
Mlati,Jasa,Mikro_Lv2,6996170,0.3992,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,1356047,0.1902,1,0,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3989429,0.7754,1,1,0,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4302177,0.8449,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3176517,0.5948,3,1,2,1,1,0,2,1
Pakem,Perdagangan,Mikro_Lv1,2648091,0.4774,1,1,0,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,3299250,0.6221,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,2651061,0.478,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1889330,0.3087,3,2,1,1,1,1,3,1
Seyegan,Jasa,Mikro_Lv1,3185747,0.5968,1,1,0,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv1,4125654,0.8057,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv4,49999678,1,7,3,4,1,1,0,2,1
Ngemplak,Perdagangan,Mikro_Lv1,3677902,0.7062,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4119348,0.8043,3,2,1,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,4609803,0.9133,2,1,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,4657137,0.9238,1,0,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4768173,0.9485,3,2,1,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,1249971,0.1667,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,2892919,0.5318,1,1,0,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3204716,0.601,3,1,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4400379,0.8668,2,1,1,1,0,0,1,0
Ngaglik,Agribisnis,Mikro_Lv1,2664563,0.481,2,1,1,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,937625,0.0973,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,2070057,0.3489,2,1,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv2,8282831,0.6566,6,3,3,1,1,0,2,1
Berbah,Agribisnis,Mikro_Lv1,708944,0.0464,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2279685,0.3955,2,1,1,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,4709738,0.9355,4,2,2,1,1,0,2,1
Moyudan,Agribisnis,Mikro_Lv1,1307744,0.1795,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3526394,0.6725,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1328791,0.1842,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4378450,0.8619,2,1,1,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,3580977,0.6847,4,2,2,1,1,1,3,1
Gamping,Perdagangan,Mikro_Lv2,9196656,0.8393,5,3,2,1,1,0,2,1
Minggir,Jasa,Mikro_Lv1,3577099,0.6838,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2006145,0.3347,3,1,2,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,4774692,0.9499,1,1,0,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4058539,0.7908,2,1,1,1,0,0,1,0
Tempel,Jasa,Mikro_Lv2,7227503,0.4455,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,841207,0.0758,3,2,1,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,4176158,0.8169,3,2,1,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,2699391,0.4888,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1453692,0.2119,2,1,1,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,3202882,0.6006,4,2,2,1,0,0,1,0
Gamping,Perdagangan,Mikro_Lv2,7531528,0.5063,1,1,0,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,4178621,0.8175,3,1,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv2,8167759,0.6336,2,1,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,2774316,0.5054,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,6863462,0.3727,1,1,0,1,1,0,2,1
Depok,Jasa,Mikro_Lv1,4973014,0.994,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2474324,0.4387,4,2,2,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,2308286,0.4018,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1337393,0.1861,4,2,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3438687,0.653,1,1,0,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv2,7188370,0.4377,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2576475,0.4614,3,2,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1904355,0.3121,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Kecil,988198447,0.9869,47,27,20,1,1,1,3,1
