kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online,is_urban,umur_usaha
Depok,Perdagangan,Mikro_Lv1,3834817,0.7411,2,1,1,1,0,0,1,0,1,3
Sleman,Jasa,Mikro_Lv1,3136694,0.5859,3,2,1,0,0,0,0,0,0,2
Ngemplak,Perdagangan,Mikro_Lv3,16953757,0.4636,8,4,4,0,0,0,0,0,0,4
Ngemplak,Perdagangan,Mikro_Lv1,3030179,0.5623,2,1,1,1,0,0,1,0,0,2
Gamping,Jasa,Mikro_Lv1,1128861,0.1397,3,2,1,1,1,0,2,1,1,3
Berbah,Jasa,Mikro_Lv1,4291481,0.8426,3,1,2,0,0,0,0,0,0,5
Gamping,Jasa,Mikro_Lv1,2745131,0.4989,2,1,1,1,1,0,2,1,1,1
Godean,Perdagangan,Mikro_Lv1,2781020,0.5069,1,0,1,0,0,0,0,0,0,1
Cangkringan,Perdagangan,Mikro_Lv1,1315131,0.1811,3,2,1,0,0,0,0,0,0,2
Prambanan,Jasa,Mikro_Lv1,3418258,0.6485,3,1,2,1,1,0,2,1,0,5
Godean,Jasa,Mikro_Lv1,967010,0.1038,1,1,0,0,0,0,0,0,0,4
Godean,Jasa,Mikro_Lv1,1072735,0.1273,2,1,1,0,0,0,0,0,0,3
Seyegan,Jasa,Mikro_Lv1,2755363,0.5012,2,1,1,0,0,0,0,0,0,1
Godean,Perdagangan,Mikro_Lv1,1671459,0.2603,3,2,1,0,0,0,0,0,0,1
Sleman,Jasa,Mikro_Lv1,744761,0.0544,3,2,1,0,0,0,0,0,0,5
Seyegan,Perdagangan,Mikro_Lv1,1550493,0.2334,3,2,1,1,0,0,1,0,0,5
Mlati,Agribisnis,Mikro_Lv1,2899105,0.5331,1,1,0,0,0,0,0,0,1,4
Berbah,Jasa,Mikro_Lv1,2824797,0.5166,4,2,2,0,0,0,0,0,0,5
Moyudan,Perdagangan,Mikro_Lv1,1592501,0.2428,4,2,2,1,0,0,1,0,0,3
Sleman,Jasa,Mikro_Lv1,1562636,0.2361,2,1,1,0,0,0,0,0,0,3
Depok,Jasa,Mikro_Lv1,4181262,0.8181,3,2,1,1,0,0,1,1,1,5
Mlati,Perdagangan,Mikro_Lv1,4503484,0.8897,1,1,0,1,0,0,1,0,1,3
Mlati,Perdagangan,Mikro_Lv1,1914397,0.3143,4,2,2,1,1,0,2,1,1,2
Berbah,Jasa,Mikro_Lv1,3927975,0.7618,1,1,0,0,0,0,0,0,0,4
Ngemplak,Jasa,Mikro_Lv1,3192755,0.5984,3,2,1,1,0,0,1,0,0,2
Tempel,Jasa,Mikro_Lv2,9390020,0.878,5,3,2,0,0,0,0,0,0,3
Gamping,Jasa,Mikro_Lv1,3059272,0.5687,2,1,1,1,1,0,2,1,1,1
Sleman,Jasa,Mikro_Lv1,2398739,0.4219,1,1,0,0,0,0,0,0,0,2
Turi,Agribisnis,Mikro_Lv1,3249178,0.6109,3,1,2,0,0,0,0,0,0,1
Kalasan,Agribisnis,Mikro_Lv1,1795302,0.2878,1,1,0,0,0,0,0,0,1,1
Prambanan,Jasa,Mikro_Lv1,3378604,0.6397,2,1,1,0,0,0,0,0,0,3
Depok,Jasa,Mikro_Lv1,1088365,0.1307,3,2,1,0,0,0,0,0,1,2
Berbah,Jasa,Mikro_Lv1,2125351,0.3612,1,0,1,0,0,0,0,0,0,3
Gamping,Perdagangan,Mikro_Lv1,3595900,0.688,4,2,2,1,1,1,3,1,1,3
Godean,Jasa,Mikro_Lv1,2228096,0.384,4,2,2,0,0,0,0,0,0,2
Godean,Jasa,Mikro_Lv1,4741361,0.9425,3,2,1,1,1,0,2,1,0,1
Kalasan,Perdagangan,Mikro_Lv1,4955214,0.99,1,1,0,1,1,0,2,1,1,2
Sleman,Perdagangan,Mikro_Lv1,3766402,0.7259,4,2,2,1,1,0,2,1,0,4
Tempel,Jasa,Mikro_Lv1,4730258,0.9401,1,0,1,1,1,0,2,1,0,2
Prambanan,Jasa,Mikro_Lv1,3989866,0.7755,2,1,1,0,0,0,0,0,0,5
Gamping,Jasa,Mikro_Lv1,1216756,0.1593,3,2,1,1,0,0,1,0,1,3
Turi,Jasa,Mikro_Lv1,1191757,0.1537,4,2,2,1,1,0,2,1,0,3
Gamping,Jasa,Mikro_Lv1,1770896,0.2824,3,1,2,1,0,0,1,0,1,3
Berbah,Jasa,Mikro_Lv1,3268362,0.6152,1,1,0,1,1,0,2,1,0,5
Mlati,Jasa,Mikro_Lv1,4375754,0.8613,4,2,2,1,0,0,1,0,1,3
Kalasan,Agribisnis,Mikro_Lv1,928988,0.0953,1,1,0,1,1,0,2,1,1,1
Ngaglik,Perdagangan,Mikro_Lv1,4237973,0.8307,4,2,2,1,0,0,1,0,1,1
Ngaglik,Jasa,Mikro_Lv1,4313270,0.8474,2,1,1,1,1,0,2,1,1,2
Moyudan,Jasa,Mikro_Lv1,2303740,0.4008,2,1,1,1,0,0,1,0,0,4
Kalasan,Jasa,Mikro_Lv1,3855745,0.7457,3,2,1,1,0,0,1,0,1,2
Mlati,Perdagangan,Mikro_Lv1,2188472,0.3752,1,1,0,1,1,1,3,1,1,5
Tempel,Perdagangan,Mikro_Lv1,3303696,0.623,1,0,1,0,0,0,0,0,0,4
Cangkringan,Jasa,Mikro_Lv1,4944499,0.9877,1,1,0,0,0,0,0,0,0,1
Seyegan,Agribisnis,Mikro_Lv1,1267950,0.1707,1,0,1,0,0,0,0,0,0,1
Pakem,Agribisnis,Mikro_Lv1,1410775,0.2024,3,2,1,0,0,0,0,0,0,3
Minggir,Jasa,Mikro_Lv1,802186,0.0672,2,1,1,0,0,0,0,0,0,1
Mlati,Perdagangan,Mikro_Lv1,4680656,0.929,1,1,0,0,0,0,0,0,1,2
Cangkringan,Jasa,Mikro_Lv2,9988023,0.9976,5,3,2,0,0,0,0,0,0,2
Berbah,Jasa,Mikro_Lv1,991036,0.1091,1,0,1,0,0,0,0,0,0,2
Godean,Jasa,Mikro_Lv1,2225690,0.3835,1,0,1,1,1,0,2,1,0,2
Godean,Jasa,Mikro_Lv1,1006079,0.1125,2,1,1,0,0,0,0,0,0,2
Ngaglik,Perdagangan,Mikro_Lv1,4676224,0.928,3,2,1,1,1,0,2,1,1,1
Godean,Jasa,Mikro_Lv1,3840420,0.7423,3,2,1,1,0,0,1,0,0,1
Sleman,Jasa,Mikro_Lv1,2761286,0.5025,2,1,1,0,0,0,0,0,0,3
Seyegan,Jasa,Mikro_Lv1,2855874,0.5235,4,2,2,1,0,0,1,0,0,2
Sleman,Jasa,Mikro_Lv1,638563,0.0308,3,1,2,1,1,0,2,1,0,4
Ngemplak,Perdagangan,Mikro_Lv1,4076511,0.7948,3,2,1,1,0,0,1,0,0,4
Sleman,Perdagangan,Mikro_Lv1,2886378,0.5303,2,1,1,0,0,0,0,0,0,2
Depok,Jasa,Mikro_Lv1,1886652,0.3081,3,1,2,1,1,0,2,1,1,2
Gamping,Perdagangan,Mikro_Lv1,1910706,0.3135,1,1,0,0,0,0,0,0,1,3
Minggir,Agribisnis,Mikro_Lv1,844855,0.0766,4,2,2,0,0,0,0,0,0,4
Sleman,Perdagangan,Mikro_Lv1,1718758,0.2708,3,2,1,1,0,0,1,1,0,4
Sleman,Jasa,Mikro_Lv1,1297968,0.1773,2,1,1,0,0,0,0,0,0,4
Mlati,Jasa,Mikro_Lv1,1109996,0.1356,1,0,1,0,0,0,0,0,1,2
Pakem,Perdagangan,Mikro_Lv1,3710016,0.7133,4,2,2,0,0,0,0,0,0,3
Godean,Perdagangan,Mikro_Lv1,1846208,0.2992,2,1,1,0,0,0,0,0,0,2
Godean,Agribisnis,Mikro_Lv1,2447763,0.4328,2,1,1,1,1,0,2,1,0,2
Godean,Perdagangan,Mikro_Lv2,6205663,0.2411,1,1,0,0,0,0,0,0,0,3
Kalasan,Perdagangan,Mikro_Lv1,1647087,0.2549,4,2,2,1,1,0,2,1,1,2
Kalasan,Jasa,Mikro_Lv1,2680338,0.4845,2,1,1,0,0,0,0,0,1,4
Depok,Jasa,Mikro_Lv1,2440369,0.4312,3,1,2,1,0,0,1,0,1,1
Depok,Perdagangan,Mikro_Lv1,2068560,0.3486,2,1,1,0,0,0,0,0,1,2
Mlati,Perdagangan,Mikro_Lv1,4995511,0.999,2,1,1,0,0,0,0,0,1,1
Turi,Jasa,Mikro_Lv1,2877074,0.5282,2,1,1,0,0,0,0,0,0,4
Tempel,Perdagangan,Mikro_Lv1,4852099,0.9671,4,2,2,0,0,0,0,0,0,2
Tempel,Jasa,Mikro_Lv1,2698611,0.4886,2,1,1,0,0,0,0,0,0,1
Seyegan,Jasa,Mikro_Lv1,652999,0.034,4,2,2,0,0,0,0,0,0,5
Mlati,Perdagangan,Mikro_Lv1,1423780,0.2053,4,2,2,1,0,0,1,0,1,4
Moyudan,Perdagangan,Mikro_Lv1,1826283,0.2947,1,1,0,0,0,0,0,0,0,4
Gamping,Jasa,Mikro_Lv3,12843940,0.1896,5,2,3,1,1,0,2,1,1,3
Mlati,Agribisnis,Mikro_Lv1,4342323,0.8538,1,1,0,0,0,0,0,0,1,3
Berbah,Jasa,Mikro_Lv1,3406495,0.6459,2,1,1,1,1,0,2,1,0,2
Godean,Jasa,Mikro_Lv1,4600612,0.9112,3,1,2,1,1,0,2,1,0,2
Sleman,Perdagangan,Mikro_Lv1,3545315,0.6767,1,1,0,0,0,0,0,0,0,5
Mlati,Perdagangan,Mikro_Lv1,3127144,0.5838,1,1,0,0,0,0,0,0,1,5
Depok,Perdagangan,Mikro_Lv1,4730625,0.9401,2,1,1,0,0,0,0,0,1,3
Mlati,Jasa,Mikro_Lv1,2461977,0.436,3,2,1,1,1,0,2,1,1,3
Godean,Perdagangan,Mikro_Lv1,2002025,0.3338,2,1,1,0,0,0,0,0,0,3
Tempel,Perdagangan,Mikro_Lv2,7380932,0.4762,2,1,1,0,0,0,0,0,0,8
Ngaglik,Agribisnis,Mikro_Lv2,6999254,0.3999,3,1,2,1,0,0,1,1,1,8
Depok,Jasa,Mikro_Lv1,1857133,0.3016,1,1,0,0,0,0,0,0,1,5
Mlati,Perdagangan,Mikro_Lv1,1198956,0.1553,4,2,2,1,1,0,2,1,1,3
Moyudan,Perdagangan,Mikro_Lv1,3521097,0.6714,4,2,2,1,1,0,2,1,0,4
Prambanan,Perdagangan,Mikro_Lv1,1021998,0.116,2,1,1,0,0,0,0,0,0,1
Mlati,Perdagangan,Mikro_Lv1,1997618,0.3328,4,2,2,1,1,0,2,1,1,2
Seyegan,Jasa,Mikro_Lv1,1366964,0.1927,1,0,1,0,0,0,0,0,0,5
Kalasan,Jasa,Mikro_Lv1,3619612,0.6932,1,1,0,0,0,0,0,0,1,2
Depok,Agribisnis,Mikro_Lv1,1993293,0.3318,3,2,1,0,0,0,0,0,1,2
Seyegan,Perdagangan,Mikro_Lv1,3924328,0.761,4,2,2,0,0,0,0,0,0,1
Gamping,Jasa,Mikro_Lv1,4859879,0.9689,2,1,1,1,1,0,2,1,1,4
Cangkringan,Jasa,Mikro_Lv1,1280641,0.1735,3,2,1,1,1,0,2,1,0,4
Sleman,Jasa,Mikro_Lv1,3796903,0.7326,4,2,2,1,0,1,2,1,0,5
Ngaglik,Jasa,Mikro_Lv1,2814181,0.5143,2,1,1,1,1,1,3,1,1,1
Minggir,Jasa,Mikro_Lv1,3157025,0.5905,3,1,2,1,1,0,2,1,0,1
Kalasan,Perdagangan,Mikro_Lv1,4235466,0.8301,3,2,1,0,0,0,0,0,1,5
Ngemplak,Jasa,Mikro_Lv1,3587821,0.6862,2,1,1,0,0,0,0,0,0,4
Gamping,Jasa,Mikro_Lv1,1752557,0.2783,4,2,2,0,0,0,0,0,1,2
Berbah,Perdagangan,Mikro_Lv1,4840092,0.9645,4,2,2,0,0,0,0,0,0,1
Godean,Jasa,Mikro_Lv1,1056110,0.1236,4,2,2,0,0,0,0,0,0,4
Depok,Perdagangan,Mikro_Lv1,971082,0.1047,2,1,1,0,0,0,0,0,1,3
Moyudan,Jasa,Mikro_Lv1,1991633,0.3315,1,1,0,1,1,0,2,1,0,1
Moyudan,Perdagangan,Mikro_Lv1,2119715,0.3599,3,1,2,0,0,0,0,0,0,5
Ngemplak,Jasa,Mikro_Lv1,2654174,0.4787,2,1,1,0,0,0,0,0,0,3
Sleman,Jasa,Mikro_Lv1,4259834,0.8355,1,0,1,1,0,0,1,0,0,5
Prambanan,Agribisnis,Mikro_Lv1,4653585,0.923,1,1,0,0,0,0,0,0,0,2
Seyegan,Jasa,Mikro_Lv1,2463571,0.4363,4,2,2,0,0,0,0,0,0,3
Berbah,Perdagangan,Mikro_Lv1,1601928,0.2449,4,2,2,0,0,0,0,0,0,1
Sleman,Jasa,Mikro_Lv1,3018970,0.5598,2,1,1,1,1,1,3,1,0,1
Ngaglik,Perdagangan,Mikro_Lv1,3322988,0.6273,4,2,2,1,1,0,2,1,1,3
Depok,Perdagangan,Mikro_Lv1,701139,0.0447,3,2,1,1,1,1,3,1,1,3
Ngemplak,Jasa,Mikro_Lv1,3018638,0.5597,4,2,2,0,0,0,0,0,0,1
Minggir,Perdagangan,Mikro_Lv1,4343688,0.8542,1,1,0,1,0,0,1,0,0,2
Berbah,Jasa,Mikro_Lv1,2111935,0.3582,3,2,1,1,1,0,2,1,0,4
Depok,Jasa,Mikro_Lv1,3004659,0.5566,1,1,0,0,0,0,0,0,1,3
Seyegan,Perdagangan,Mikro_Lv1,3984144,0.7743,4,2,2,0,0,0,0,0,0,2
Kalasan,Agribisnis,Mikro_Lv1,951157,0.1003,2,1,1,1,1,0,2,1,1,4
Ngaglik,Jasa,Mikro_Lv1,1726134,0.2725,4,2,2,1,0,0,1,0,1,3
Moyudan,Jasa,Mikro_Lv1,1295928,0.1769,4,2,2,0,0,0,0,0,0,2
Ngaglik,Jasa,Mikro_Lv1,3053314,0.5674,4,2,2,0,0,0,0,0,1,2
Moyudan,Perdagangan,Mikro_Lv1,3599555,0.6888,2,1,1,1,1,0,2,1,0,2
Pakem,Jasa,Mikro_Lv1,2435090,0.43,3,1,2,0,0,0,0,0,0,3
Depok,Perdagangan,Mikro_Lv1,2427205,0.4283,2,1,1,0,0,0,0,0,1,1
Tempel,Perdagangan,Mikro_Lv1,3170308,0.5934,4,2,2,0,0,0,0,0,0,4
Seyegan,Jasa,Mikro_Lv1,4307085,0.846,3,1,2,0,0,0,0,0,0,5
Minggir,Jasa,Mikro_Lv1,2285516,0.3968,4,2,2,0,0,0,0,0,0,1
Ngaglik,Perdagangan,Kecil,712312876,0.6803,52,27,25,1,1,0,2,1,1,8
Cangkringan,Perdagangan,Mikro_Lv1,4290328,0.8423,4,2,2,0,0,0,0,0,0,2
Ngaglik,Perdagangan,Mikro_Lv2,9002713,0.8005,3,2,1,0,0,0,0,0,1,6
Pakem,Perdagangan,Mikro_Lv1,4854685,0.9677,3,2,1,1,0,0,1,0,0,3
Kalasan,Perdagangan,Mikro_Lv1,3528631,0.673,1,1,0,1,1,0,2,1,1,4
Seyegan,Perdagangan,Mikro_Lv1,986799,0.1082,2,1,1,0,0,0,0,0,0,1
Godean,Jasa,Mikro_Lv1,2592101,0.4649,3,1,2,0,0,0,0,0,0,3
Pakem,Jasa,Mikro_Lv1,2184351,0.3743,2,1,1,0,0,0,0,0,0,2
Pakem,Jasa,Mikro_Lv2,7365600,0.4731,2,1,1,1,1,0,2,1,0,8
Prambanan,Perdagangan,Mikro_Lv1,1178841,0.1509,3,1,2,0,0,0,0,0,0,1
Moyudan,Perdagangan,Mikro_Lv2,9525121,0.905,2,1,1,0,0,0,0,0,0,4
Gamping,Perdagangan,Mikro_Lv1,1597353,0.2439,3,1,2,1,1,0,2,1,1,1
Prambanan,Perdagangan,Mikro_Lv1,3401717,0.6448,4,2,2,0,0,0,0,0,0,3
Sleman,Jasa,Mikro_Lv1,2226199,0.3836,2,1,1,1,1,0,2,1,0,4
Depok,Perdagangan,Mikro_Lv1,3255063,0.6122,4,2,2,0,0,0,0,0,1,4
Ngemplak,Jasa,Mikro_Lv1,4913359,0.9807,2,1,1,1,1,0,2,1,0,2
Tempel,Jasa,Mikro_Lv1,2460155,0.4356,1,0,1,0,0,0,0,0,0,5
Mlati,Perdagangan,Mikro_Lv1,2460584,0.4357,4,2,2,0,0,0,0,0,1,1
Moyudan,Jasa,Mikro_Lv1,1032726,0.1184,4,2,2,1,1,0,2,1,0,1
Minggir,Perdagangan,Mikro_Lv1,4378363,0.8619,1,0,1,0,0,0,0,0,0,2
Ngemplak,Jasa,Mikro_Lv1,4347125,0.8549,3,2,1,1,0,0,1,0,0,2
Godean,Jasa,Mikro_Lv1,1724744,0.2722,3,2,1,0,0,0,0,0,0,2
Sleman,Jasa,Mikro_Lv1,4852892,0.9673,4,2,2,1,0,0,1,0,0,3
Moyudan,Jasa,Mikro_Lv1,2240534,0.3868,3,1,2,1,0,0,1,0,0,3
Gamping,Perdagangan,Mikro_Lv1,3956653,0.7681,4,2,2,0,0,0,0,0,1,1
Seyegan,Perdagangan,Mikro_Lv2,9777402,0.9555,3,2,1,0,0,0,0,0,0,7
Cangkringan,Jasa,Mikro_Lv1,4833848,0.9631,4,2,2,1,0,0,1,0,0,2
Ngaglik,Perdagangan,Mikro_Lv2,5414994,0.083,1,1,0,1,1,1,3,1,1,6
Ngaglik,Agribisnis,Mikro_Lv1,3443295,0.6541,1,1,0,1,0,0,1,0,1,1
Minggir,Perdagangan,Mikro_Lv1,663834,0.0364,4,2,2,1,0,0,1,0,0,2
Godean,Perdagangan,Mikro_Lv1,3831106,0.7402,3,2,1,0,0,0,0,0,0,2
Seyegan,Jasa,Mikro_Lv1,960796,0.1024,1,1,0,0,0,0,0,0,0,4
Godean,Jasa,Mikro_Lv1,3334837,0.63,4,2,2,0,0,0,0,0,0,4
Ngaglik,Jasa,Mikro_Lv1,770914,0.0602,2,1,1,1,1,0,2,1,1,2
Gamping,Perdagangan,Mikro_Lv1,2971378,0.5492,4,2,2,1,1,0,2,1,1,1
Kalasan,Jasa,Mikro_Lv1,4570028,0.9045,1,0,1,0,0,0,0,0,1,1
Prambanan,Perdagangan,Mikro_Lv1,2779176,0.5065,4,2,2,0,0,0,0,0,0,1
Tempel,Agribisnis,Mikro_Lv1,3202994,0.6007,3,1,2,0,0,0,0,0,0,5
Ngaglik,Jasa,Mikro_Lv1,4400379,0.8668,2,1,1,1,0,0,1,0,1,1
Seyegan,Perdagangan,Mikro_Lv1,4979825,0.9955,2,1,1,0,0,0,0,0,0,1
Sleman,Agribisnis,Mikro_Lv1,1872070,0.3049,2,1,1,0,0,0,0,0,0,1
Kalasan,Jasa,Mikro_Lv1,2661352,0.4803,1,0,1,1,0,0,1,0,1,3
Prambanan,Agribisnis,Mikro_Lv1,1184029,0.152,4,2,2,1,1,0,2,1,0,1
Sleman,Jasa,Mikro_Lv1,1861303,0.3025,1,0,1,1,0,0,1,0,0,5
Mlati,Jasa,Mikro_Lv1,1173218,0.1496,3,2,1,1,1,0,2,1,1,1
Depok,Perdagangan,Mikro_Lv1,4387008,0.8638,4,2,2,0,0,0,0,0,1,4
Moyudan,Perdagangan,Mikro_Lv1,1288443,0.1752,3,2,1,0,0,0,0,0,0,3
Ngaglik,Jasa,Mikro_Lv1,1115863,0.1369,4,2,2,1,1,0,2,1,1,4
Depok,Jasa,Mikro_Lv1,2980252,0.5512,3,2,1,1,0,0,1,0,1,2
Pakem,Perdagangan,Mikro_Lv1,3580977,0.6847,4,2,2,0,0,0,0,0,0,5
Moyudan,Jasa,Mikro_Lv1,1286261,0.1747,1,1,0,0,0,0,0,0,0,3
Ngaglik,Jasa,Mikro_Lv1,3577099,0.6838,1,1,0,1,1,0,2,1,1,4
Berbah,Perdagangan,Mikro_Lv1,2042247,0.3427,2,1,1,0,0,0,0,0,0,2
Moyudan,Perdagangan,Mikro_Lv1,3475605,0.6612,3,1,2,0,0,0,0,0,0,3
Godean,Jasa,Mikro_Lv1,2118963,0.3598,1,1,0,0,0,0,0,0,0,4
Prambanan,Perdagangan,Mikro_Lv1,4111646,0.8026,3,2,1,0,0,0,0,0,0,3
Berbah,Perdagangan,Mikro_Lv1,1662189,0.2583,3,2,1,0,0,0,0,0,0,3
Sleman,Perdagangan,Mikro_Lv1,4270183,0.8378,4,2,2,0,0,0,0,0,0,1
Gamping,Perdagangan,Mikro_Lv1,717770,0.0484,3,2,1,0,0,0,0,0,1,2
Sleman,Perdagangan,Mikro_Lv1,2290008,0.3978,2,1,1,1,0,0,1,0,0,3
Gamping,Perdagangan,Mikro_Lv2,7531528,0.5063,1,1,0,1,1,0,2,1,1,3
Seyegan,Agribisnis,Mikro_Lv1,1797991,0.2884,3,2,1,1,0,0,1,0,0,5
Prambanan,Perdagangan,Mikro_Lv1,3357281,0.635,2,1,1,0,0,0,0,0,0,4
Mlati,Jasa,Mikro_Lv1,2830229,0.5178,1,1,0,1,1,0,2,1,1,1
Sleman,Perdagangan,Mikro_Lv1,1062621,0.125,2,1,1,0,0,0,0,0,0,4
Berbah,Jasa,Mikro_Lv1,4398190,0.8663,2,1,1,0,0,0,0,0,0,4
Seyegan,Perdagangan,Mikro_Lv1,769160,0.0598,4,2,2,1,1,1,3,1,0,1
Seyegan,Agribisnis,Mikro_Lv1,1234983,0.1633,1,1,0,0,0,0,0,0,0,4
Seyegan,Jasa,Mikro_Lv1,4579441,0.9065,3,2,1,0,0,0,0,0,0,3
Pakem,Perdagangan,Mikro_Lv1,1255612,0.1679,1,1,0,0,0,0,0,0,0,1
Sleman,Perdagangan,Mikro_Lv2,8424083,0.6848,3,2,1,1,1,0,2,1,0,6
Prambanan,Jasa,Mikro_Lv1,3388939,0.642,1,0,1,0,0,0,0,0,0,1
Depok,Perdagangan,Mikro_Lv1,4352256,0.8561,4,2,2,1,1,0,2,1,1,5
